seed,auc_ecfp,auc_kg,acc_ecfp,acc_kg,auc_kg_permuted,auc_random
42,0.957492910315491,0.916380125251093,0.8807890222984562,0.8404802744425386,0.5399784355429516,0.4939693371144984
123,0.9550026586316908,0.9806333451494741,0.8807890222984562,0.9245283018867925,0.5357925676474063,0.5039067115680019
456,0.9584160463192721,0.9776290913387687,0.8816466552315609,0.91852487135506,0.5320616211745244,0.49739601796053406
789,0.9551991019732955,0.9776128441451022,0.8782161234991424,0.9219554030874786,0.5174317617866004,0.5088635826539053
101112,0.9552995391705069,0.964039052345504,0.869639794168096,0.8833619210977701,0.55941894127378,0.5156622946945528
131415,0.9523528890464376,0.9693577927448895,0.8687821612349914,0.8979416809605489,0.48458436724565757,0.483531253692544
161718,0.957318622237977,0.9084810350939383,0.8799313893653516,0.823327615780446,0.4497991256055772,0.5264622474299894
192021,0.9548726810823586,0.9719691598723857,0.869639794168096,0.9108061749571184,0.46101264327070784,0.5314826302729528
222324,0.9560350939383198,0.9870066761195794,0.8765008576329331,0.9322469982847341,0.43705689471818504,0.5031800189058254
252627,0.9550351530190239,0.9544502540470283,0.8816466552315609,0.8807890222984562,0.4581487061325772,0.5075948245303084
