seed,auc_ecfp,auc_kg,acc_ecfp,acc_kg
42,0.957492910315491,0.9976574500768048,0.8807890222984562,0.9777015437392796
123,0.9550026586316908,0.5962144038756942,0.8807890222984562,0.5677530017152659
456,0.9584160463192721,0.8694523218716768,0.8816466552315609,0.7787307032590052
789,0.9551991019732955,0.9977047146401985,0.8782161234991424,0.967409948542024
101112,0.9552995391705069,0.9929236086494151,0.869639794168096,0.9210977701543739
131415,0.9523528890464376,0.9941849816849816,0.8687821612349914,0.9828473413379074
161718,0.957318622237977,0.9844410965378708,0.8799313893653516,0.9425385934819898
192021,0.9548726810823586,0.9736116034503132,0.869639794168096,0.9039451114922813
222324,0.9560350939383198,0.9964699279215408,0.8765008576329331,0.9819897084048027
252627,0.9550351530190239,0.9969543896963251,0.8816466552315609,0.9974271012006861
